name,score,price,rank
AMD Ryzen Threadripper 3990X,"81,290","$3,699.99",0
AMD EPYC 7742,"66,679","$7,579.00",1
AMD EPYC 7702P,"63,910","$4,783.99",2
AMD Ryzen Threadripper 3970X,"62,434","$1,899.99",3
AMD Ryzen Threadripper 3960X,"56,015","$1,399.99",4
AMD EPYC 7452,"53,075","$1,950.00",5
AMD Ryzen 9 3950X,"39,282",$722.41,6
AMD EPYC 7402P,"39,249","$1,399.99",7
Intel Xeon W-3275M @ 2.50GHz,"38,961","$7,453.00*",8
AMD EPYC 7302P,"38,825",$913.99,9
AMD EPYC 7502P,"38,064","$2,493.99",10
Intel Core i9-10980XE @ 3.00GHz,"34,643",$979.00*,11
Intel Xeon W-3265 @ 2.70GHz,"33,503","$4,551.37*",12
Intel Xeon Platinum 8268 @ 2.90GHz,"33,501","$6,005.98*",13
Intel Xeon W-3175X @ 3.10GHz,"33,351","$3,103.94",14
Intel Core i9-9980XE @ 3.00GHz,"33,286","$2,999.00*",15
AMD Ryzen 9 3900X,"32,873",$432.37,16
AMD Ryzen 9 PRO 3900,"32,008",NA,17
Intel Xeon Gold 6254 @ 3.10GHz,"31,735","$3,620.00",18
Intel Xeon W-2295 @ 3.00GHz,"31,631","$1,333.00*",19
AMD Ryzen 9 3900,"30,981",NA,20
Intel Xeon Gold 6212U @ 2.40GHz,"30,570","$2,000.00*",21
Intel Core i9-9960X @ 3.10GHz,"30,542","$1,299.99",22
Intel Core i9-10940X @ 3.30GHz,"30,531","$1,099.99*",23
AMD Ryzen Threadripper 2990WX,"30,296","$1,432.65",24
Intel Xeon Gold 6210U @ 2.50GHz,"30,193","$2,059.86*",25
AMD Ryzen Threadripper 2950X,"30,010",$649.99,26
Intel Xeon Platinum 8259CL @ 2.50GHz,"29,491",NA,27
Intel Core i9-7980XE @ 2.60GHz,"29,439","$1,499.80*",28
Intel Xeon Platinum 8168 @ 2.70GHz,"28,969","$5,890.00*",29
AMD EPYC 7262,"28,706",$667.25,30
Intel Xeon Platinum 8173M @ 2.00GHz,"28,699",NA,31
Intel Core i9-9940X @ 3.30GHz,"28,050",$899.00,32
Intel Xeon Platinum 8175M @ 2.50GHz,"27,947",NA,33
Intel Xeon Gold 6154 @ 3.00GHz,"27,568","$3,659.82*",34
Intel Xeon W-3235 @ 3.30GHz,"27,232","$1,595.45",35
Intel Xeon Gold 6246 @ 3.30GHz,"27,205","$3,315.49*",36
Intel Core i9-7960X @ 2.80GHz,"26,978","$1,600.00",37
Intel Xeon Gold 6242 @ 2.80GHz,"26,760","$2,723.99",38
Intel Xeon Platinum 8124M @ 3.00GHz,"26,686",NA,39
AMD Ryzen Threadripper 1950X,"26,537",$449.99,40
Intel Core i9-7940X @ 3.10GHz,"26,530",$799.00,41
AMD Ryzen Threadripper 2970WX,"26,494",$875.00,42
Intel Core i9-10920X @ 3.50GHz,"26,437",$879.07,43
AMD Ryzen Threadripper 2920X,"26,285",$579.99,44
Intel Xeon Gold 6143 @ 2.80GHz,"25,983",NA,45
Intel Xeon Gold 6230 @ 2.10GHz,"25,964","$2,045.99",46
Intel Core i9-9920X @ 3.50GHz,"25,442","$1,284.02*",47
Intel Xeon Gold 6148 @ 2.40GHz,"25,299","$3,299.99*",48
Intel Xeon Gold 6138 @ 2.00GHz,"25,279","$2,609.49",49
Intel Xeon Gold 6138T @ 2.00GHz,"24,800","$2,742.00*",50
Intel Xeon W-2195 @ 2.30GHz,"24,621","$2,710.78*",51
Intel Xeon W-2170B @ 2.50GHz,"24,425",NA,52
Intel Xeon Platinum 8176 @ 2.10GHz,"24,299","$8,725.00*",53
Intel Xeon Gold 6146 @ 3.20GHz,"24,126","$4,608.95*",54
Intel Xeon Platinum 8160 @ 2.10GHz,"24,107","$4,489.00*",55
Intel Xeon Gold 6140 @ 2.30GHz,"23,831","$2,863.75",56
Intel Xeon Gold 6132 @ 2.60GHz,"23,774","$2,169.95*",57
AMD EPYC 7551P,"23,581","$2,013.75",58
Intel Core i9-7920X @ 2.90GHz,"23,453",$919.99*,59
Intel Xeon Gold 6152 @ 2.10GHz,"23,367","$4,108.95*",60
AMD Ryzen 7 3800X,"23,321",$339.99,61
Intel Xeon W-2175 @ 2.50GHz,"23,285","$2,098.36*",62
Intel Xeon E5-2679 v4 @ 2.50GHz,"23,197","$2,702.00*",63
Intel Core i9-10900X @ 3.70GHz,"23,174",$771.99,64
AMD EPYC 7371,"22,859","$1,550.00*",65
AMD Ryzen Threadripper 1920X,"22,731",$269.55,66
AMD Ryzen 7 3700X,"22,721",$294.14,67
